省份,城市,确诊,疑似,死亡,治愈,,,,,,,,
内蒙古自治区,赤峰,9,-,0,9,,,,,,,,
内蒙古自治区,呼伦贝尔,9,-,0,9,,,,,,,,
内蒙古自治区,锡林郭勒盟,9,-,0,9,,,,,,,,
内蒙古自治区,巴彦淖尔,8,-,1,7,,,,,,,,
内蒙古自治区,呼和浩特,7,-,0,7,,,,,,,,
内蒙古自治区,通辽,7,-,0,7,,,,,,,,
内蒙古自治区,乌兰察布,3,-,0,3,,,,,,,,
内蒙古自治区,乌海,2,-,0,2,,,,,,,,
内蒙古自治区,兴安盟,1,-,0,1,,,,,,,,
天津市,境外输入,61,-,0,61,,,,,,,,
天津市,宝坻区,60,-,2,58,,,,,,,,
天津市,河东区,15,-,1,14,,,,,,,,
天津市,河北区,12,-,0,12,,,,,,,,
天津市,北辰区,7,-,0,6,,,,,,,,
天津市,外地来津人员,6,-,0,6,,,,,,,,
天津市,南开区,6,-,0,6,,,,,,,,
天津市,和平区,6,-,0,6,,,,,,,,
天津市,西青区,4,-,0,4,,,,,,,,
天津市,东丽区,4,-,0,4,,,,,,,,
天津市,宁河区,4,-,0,4,,,,,,,,
天津市,河西区,4,-,0,4,,,,,,,,
天津市,滨海新区,3,-,0,3,,,,,,,,
天津市,津南区,2,-,0,2,,,,,,,,
天津市,红桥区,2,-,0,2,,,,,,,,
天津市,武清区,2,-,0,2,,,,,,,,
山西省,境外输入,64,-,0,64,,,,,,,,
山西省,晋中,37,-,0,37,,,,,,,,
山西省,太原,21,-,0,21,,,,,,,,
山西省,运城,19,-,0,19,,,,,,,,
山西省,大同,12,-,0,12,,,,,,,,
山西省,晋城,10,-,0,10,,,,,,,,
山西省,朔州,8,-,0,8,,,,,,,,
山西省,长治,8,-,0,8,,,,,,,,
山西省,忻州,7,-,0,7,,,,,,,,
山西省,吕梁,6,-,0,6,,,,,,,,
山西省,阳泉,4,-,0,4,,,,,,,,
山西省,临汾,2,-,0,2,,,,,,,,
云南省,昆明,53,-,0,53,,,,,,,,
云南省,昭通,25,-,0,25,,,,,,,,
云南省,西双版纳州,15,-,1,14,,,,,,,,
云南省,玉溪,14,-,1,13,,,,,,,,
云南省,曲靖,13,-,0,13,,,,,,,,
云南省,大理州,13,-,0,13,,,,,,,,
云南省,境外输入,11,-,0,11,,,,,,,,
云南省,保山,9,-,0,9,,,,,,,,
云南省,红河州,9,-,0,9,,,,,,,,
云南省,丽江,7,-,0,7,,,,,,,,
云南省,德宏州,5,-,0,5,,,,,,,,
云南省,普洱,4,-,0,4,,,,,,,,
云南省,楚雄州,4,-,0,4,,,,,,,,
云南省,文山州,2,-,0,2,,,,,,,,
云南省,临沧,1,-,0,1,,,,,,,,
海南省,三亚,57,-,1,56,,,,,,,,
海南省,海口,39,-,0,39,,,,,,,,
海南省,儋州,15,-,1,14,,,,,,,,
海南省,万宁,13,-,0,13,,,,,,,,
海南省,澄迈县,9,-,1,8,,,,,,,,
海南省,昌江县,7,-,0,7,,,,,,,,
海南省,临高县,6,-,0,6,,,,,,,,
海南省,琼海,6,-,1,5,,,,,,,,
海南省,陵水县,4,-,0,4,,,,,,,,
海南省,东方,3,-,1,2,,,,,,,,
海南省,定安县,3,-,1,2,,,,,,,,
海南省,文昌,3,-,0,3,,,,,,,,
海南省,保亭县,3,-,0,3,,,,,,,,
海南省,乐东县,2,-,0,2,,,,,,,,
海南省,琼中县,1,-,0,1,,,,,,,,
甘肃省,境外输入,72,-,0,53,,,,,,,,
甘肃省,兰州,37,-,2,35,,,,,,,,
甘肃省,天水,12,-,0,12,,,,,,,,
甘肃省,平凉,9,-,0,9,,,,,,,,
甘肃省,定西,9,-,0,9,,,,,,,,
甘肃省,甘南州,8,-,0,8,,,,,,,,
甘肃省,陇南,4,-,0,4,,,,,,,,
甘肃省,白银,4,-,0,4,,,,,,,,
甘肃省,临夏州,3,-,0,3,,,,,,,,
甘肃省,庆阳,3,-,0,3,,,,,,,,
甘肃省,张掖,2,-,0,2,,,,,,,,
甘肃省,金昌,1,-,0,1,,,,,,,,
吉林省,吉林,48,-,1,47,,,,,,,,
吉林省,长春,45,-,0,45,,,,,,,,
吉林省,境外输入,19,-,0,19,,,,,,,,
吉林省,四平,15,-,1,14,,,,,,,,
吉林省,辽源,7,-,0,7,,,,,,,,
吉林省,通化,6,-,0,6,,,,,,,,
吉林省,公主岭,6,-,0,6,,,,,,,,
吉林省,延边州,5,-,0,5,,,,,,,,
吉林省,松原,2,-,0,2,,,,,,,,
吉林省,白城,1,-,0,1,,,,,,,,
吉林省,梅河口,1,-,0,1,,,,,,,,
辽宁省,沈阳,34,-,0,31,,,,,,,,
辽宁省,境外输入,24,-,0,21,,,,,,,,
辽宁省,大连,18,-,0,18,,,,,,,,
辽宁省,葫芦岛,12,-,1,11,,,,,,,,
辽宁省,锦州,12,-,0,12,,,,,,,,
辽宁省,盘锦,11,-,0,11,,,,,,,,
辽宁省,丹东,11,-,0,11,,,,,,,,
辽宁省,阜新,8,-,0,8,,,,,,,,
辽宁省,铁岭,7,-,0,7,,,,,,,,
辽宁省,朝阳,6,-,1,5,,,,,,,,
辽宁省,鞍山,4,-,0,4,,,,,,,,
辽宁省,辽阳,3,-,0,3,,,,,,,,
辽宁省,本溪,3,-,0,3,,,,,,,,
辽宁省,营口,1,-,0,1,,,,,,,,
辽宁省,抚顺,1,-,0,1,,,,,,,,
贵州省,贵阳,36,-,1,35,,,,,,,,
贵州省,遵义,32,-,0,32,,,,,,,,
